time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
150.000,-2.82500070,0.01449998,0.21024948,-2.00002445,2.00002445,-2.00002445,-1.78977497,1.00000000,0.00000000,0.00000000,0.46282445,0
151.000,-2.81050071,0.01449998,0.21024946,-2.00002443,2.00002443,-2.00002443,-1.78977497,1.00000000,0.00000000,0.00000000,0.07306678,0
152.000,-2.79600073,0.01449998,0.21024945,-2.00002442,2.00002442,-2.00002442,-1.78977497,1.00000000,0.00000000,0.00000000,0.86600031,0
153.000,-2.78150075,0.01449998,0.21024944,-2.00002441,2.00002441,-2.00002441,-1.78977497,1.00000000,0.00000000,0.00000000,0.00982818,0
154.000,-2.76700077,0.01449998,0.21024942,-2.00002439,2.00002439,-2.00002439,-1.78977497,1.00000000,0.00000000,0.00000000,0.40204178,0
155.000,-2.75250079,0.01449998,0.21024941,-2.00002438,2.00002438,-2.00002438,-1.78977497,1.00000000,0.00000000,0.00000000,0.45704596,0
156.000,-2.73800081,0.01449998,0.21024939,-2.00002436,2.00002436,-2.00002436,-1.78977497,1.00000000,0.00000000,0.00000000,0.13463604,0
157.000,-2.72350083,0.01449998,0.21024938,-2.00002435,2.00002435,-2.00002435,-1.78977497,1.00000000,0.00000000,0.00000000,0.46985739,0
158.000,-2.70900085,0.01449998,0.21024937,-2.00002433,2.00002433,-2.00002433,-1.78977497,1.00000000,0.00000000,0.00000000,0.66335457,0
159.000,-2.69450088,0.01449998,0.21024935,-2.00002432,2.00002432,-2.00002432,-1.78977497,1.00000000,0.00000000,0.00000000,0.27006727,0
160.000,-2.68000090,0.01449998,0.21024933,-2.00002430,2.00002430,-2.00002430,-1.78977497,1.00000000,0.00000000,0.00000000,0.18231157,0
161.000,-2.66550092,0.01449998,0.21024932,-2.00002429,2.00002429,-2.00002429,-1.78977497,1.00000000,0.00000000,0.00000000,0.57583432,0
162.000,-2.65100095,0.01449998,0.21024930,-2.00002427,2.00002427,-2.00002427,-1.78977497,1.00000000,0.00000000,0.00000000,0.92894296,0
